DATE,CO,NO,NO2,O3,T,RH,P,G,PM1.0,PM2.5,PM10,WD,WS
2019-10-24 10:47:00,2953.7,-40.3,64.4,-442.6,25.8,35.9,1018.4,51.6,2.5,4.1,4.8,23.9,0.0
2019-10-24 10:57:00,2831.8,103.1,58.4,-390.5,26.1,35.8,1018.3,226.7,2.9,4.4,5.0,25.0,0.0
2019-10-24 11:07:00,1654.6,66.3,28.4,-234.5,26.3,33.2,1018.2,338.3,2.5,3.4,3.9,25.7,0.0
2019-10-24 11:17:00,1189.7,50.5,19.4,-168.1,26.4,32.7,1018.0,423.3,4.9,6.3,6.6,26.4,0.0
2019-10-24 11:27:00,928.2,40.3,12.7,-130.9,26.5,31.3,1017.9,479.7,3.8,4.9,5.9,27.1,0.0
2019-10-24 11:37:00,669.5,31.2,10.7,-98.7,26.6,31.6,1017.9,555.7,3.8,5.1,5.6,27.8,0.0
2019-10-24 11:47:00,612.2,26.3,10.8,-80.8,26.6,33.1,1017.8,566.1,3.1,4.4,4.9,28.5,0.0
2019-10-24 11:57:00,527.7,26.6,6.7,-66.4,26.7,31.9,1017.7,610.6,2.8,3.6,3.8,29.2,0.0
2019-10-24 12:07:00,484.9,26.1,2.0,-57.4,26.7,30.8,1017.6,636.3,2.1,2.6,3.2,29.9,0.0
2019-10-24 12:17:00,434.3,23.6,0.4,-47.1,26.7,30.1,1017.6,684.8,2.4,3.6,3.8,30.6,0.0
2019-10-24 12:28:00,365.9,25.1,1.7,-40.0,26.8,29.8,1017.4,711.7,2.6,3.2,3.4,31.3,0.0
2019-10-24 12:38:00,330.2,23.9,0.7,-35.7,26.8,29.7,1017.2,731.2,2.5,3.2,3.8,31.8,0.0
2019-10-24 12:48:00,310.0,23.1,-1.5,-28.4,26.8,29.5,1017.1,737.8,2.2,2.8,3.4,32.4,0.0
2019-10-24 12:58:00,313.6,25.1,1.4,-22.3,26.9,30.5,1017.0,709.8,2.0,2.9,3.2,33.1,0.0
2019-10-24 13:08:00,284.5,26.3,3.8,-25.3,27.0,30.0,1016.8,773.8,2.1,3.1,3.9,33.6,0.0
2019-10-24 13:18:00,279.9,28.0,2.2,-18.4,27.0,30.2,1016.7,769.5,2.2,2.9,3.2,34.1,0.0
2019-10-24 13:28:00,261.3,28.3,1.1,-15.4,27.1,30.1,1016.5,773.5,1.9,2.5,2.5,34.8,0.0
2019-10-24 13:38:00,284.5,29.3,-2.4,-11.6,27.1,28.7,1016.4,783.3,1.3,2.1,2.2,35.2,0.0
2019-10-24 13:48:00,225.6,32.1,-0.6,-10.5,27.2,28.3,1016.3,838.3,1.4,1.8,1.9,35.9,0.0
2019-10-24 13:58:00,223.7,32.3,-0.4,-5.8,27.3,29.0,1016.2,834.0,1.2,1.6,2.0,36.2,0.0
2019-10-24 15:22:00,501.5,68.9,3.6,-17.2,27.0,32.2,1015.9,583.3,1.4,2.1,2.2,37.0,0.0
2019-10-24 15:32:00,310.4,44.9,4.5,-7.3,27.0,31.7,1015.8,704.5,1.4,2.0,2.3,37.6,0.0
2019-10-24 15:42:00,263.2,38.3,6.2,-4.3,26.9,31.7,1015.8,783.6,1.2,1.9,1.9,38.0,0.0
2019-10-24 15:52:00,252.5,35.8,4.5,0.3,26.8,31.5,1015.8,816.6,1.1,1.6,1.9,38.7,0.0
2019-10-24 16:02:00,243.0,31.4,6.5,-0.7,26.8,32.9,1015.6,775.6,1.3,1.7,1.8,39.1,0.0
2019-10-24 16:13:00,269.9,32.2,8.5,-5.0,26.9,33.7,1015.5,751.5,1.1,1.6,2.2,39.8,0.0
